# Chunk-averaged data for fix bowForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount c_bowComp
0 20 840
  1 42 0.143713
  2 42 0.143713
  3 42 0.143713
  4 42 0.143713
  5 42 0.143713
  6 42 0.143713
  7 42 0.143713
  8 42 0.143713
  9 42 0.143713
  10 42 0.143713
  11 42 0.143713
  12 42 0.143713
  13 42 0.143713
  14 42 0.143713
  15 42 0.143713
  16 42 0.143713
  17 42 0.143713
  18 42 0.143713
  19 42 0.143713
  20 42 0.143713
100 20 840
  1 42 0.249033
  2 42 0.30505
  3 42 0.548908
  4 42 0.825818
  5 42 0.433209
  6 42 1.32222
  7 42 -0.507751
  8 42 -0.0672546
  9 42 0.650567
  10 42 -0.12278
  11 42 0.75118
  12 42 0.297764
  13 42 0.467046
  14 42 0.188067
  15 42 -0.612995
  16 42 -0.796067
  17 42 -0.180633
  18 42 0.150419
  19 42 0.456917
  20 42 -0.241738
200 20 840
  1 42 0.0982718
  2 42 -0.113847
  3 42 1.06462
  4 42 0.83675
  5 42 0.856406
  6 42 0.581537
  7 42 -0.188862
  8 42 0.380301
  9 42 -0.494079
  10 42 -0.83355
  11 42 -0.31639
  12 42 0.0548726
  13 42 0.402923
  14 42 0.88616
  15 42 0.384018
  16 42 0.219702
  17 42 1.73771
  18 42 0.644576
  19 42 1.85278
  20 42 -1.04502
300 20 840
  1 42 -0.192462
  2 42 0.0810797
  3 42 -0.717075
  4 42 -0.463201
  5 42 0.55718
  6 42 -0.0301687
  7 42 -0.100456
  8 42 -0.657968
  9 42 0.840293
  10 42 0.994874
  11 42 -0.377449
  12 42 -0.150964
  13 42 -0.177793
  14 42 0.250333
  15 42 -0.850808
  16 42 0.667746
  17 42 -0.395684
  18 42 1.20476
  19 42 -0.81399
  20 42 0.752236
400 20 840
  1 42 0.683369
  2 42 0.219706
  3 42 0.942259
  4 42 -0.044111
  5 42 0.230216
  6 42 -0.269933
  7 42 0.441912
  8 42 -0.41957
  9 42 0.256385
  10 42 -0.555514
  11 42 0.869334
  12 42 0.370815
  13 42 -0.511767
  14 42 -0.316964
  15 42 0.665101
  16 42 1.38728
  17 42 -0.450048
  18 42 0.706798
  19 42 -0.552264
  20 42 -0.510589
500 20 840
  1 42 1.27545
  2 42 -0.489616
  3 42 0.244656
  4 42 -0.359962
  5 42 0.762204
  6 42 1.3062
  7 42 -0.218056
  8 42 0.615842
  9 42 -0.272753
  10 42 -0.580115
  11 42 0.113277
  12 42 0.880836
  13 42 0.0823463
  14 42 0.0432124
  15 42 0.296085
  16 42 -0.165677
  17 42 -0.933874
  18 42 0.11015
  19 42 0.599916
  20 42 -0.0944579
600 20 840
  1 42 -0.976096
  2 42 0.864363
  3 42 -0.348163
  4 42 0.345221
  5 42 0.879673
  6 42 -1.11016
  7 42 -0.314813
  8 42 0.253152
  9 42 -0.453274
  10 42 1.24374
  11 42 0.088935
  12 42 0.0645781
  13 42 0.340914
  14 42 -0.141585
  15 42 -0.685361
  16 42 0.202422
  17 42 -0.450982
  18 42 -1.28071
  19 42 0.326704
  20 42 0.762576
700 20 840
  1 42 -0.198058
  2 42 0.198731
  3 42 -0.335613
  4 42 0.223924
  5 42 0.355905
  6 42 -0.815066
  7 42 0.763923
  8 42 0.285318
  9 42 -0.886858
  10 42 -0.394092
  11 42 1.07896
  12 42 -0.981635
  13 42 0.291765
  14 42 -0.499027
  15 42 -0.0425321
  16 42 0.241416
  17 42 0.443223
  18 42 -1.12344
  19 42 0.133945
  20 42 -0.0450662
800 20 840
  1 42 -0.18235
  2 42 -0.169136
  3 42 -0.855015
  4 42 -0.750906
  5 42 -1.14052
  6 42 0.252209
  7 42 -1.14159
  8 42 0.234178
  9 42 0.183581
  10 42 1.10558
  11 42 0.385914
  12 42 -0.393027
  13 42 -0.318973
  14 42 0.717104
  15 42 -0.689646
  16 42 0.996749
  17 42 0.99609
  18 42 0.153289
  19 42 0.0389992
  20 42 -0.0576824
900 20 840
  1 42 0.0335487
  2 42 -0.75382
  3 42 -0.240647
  4 42 0.326603
  5 42 -0.443278
  6 42 -0.0854774
  7 42 0.732662
  8 42 -0.219331
  9 42 0.55607
  10 42 0.285884
  11 42 1.07975
  12 42 -0.626398
  13 42 -1.62581
  14 42 -0.758644
  15 42 1.13833
  16 42 -0.474545
  17 42 -0.654403
  18 42 0.468019
  19 42 0.90659
  20 42 -0.0871971
1000 20 840
  1 42 0.231782
  2 42 -0.297953
  3 42 0.300766
  4 42 0.0962495
  5 42 -0.264546
  6 42 0.111968
  7 42 -0.0599025
  8 42 0.944428
  9 42 0.919935
  10 42 0.240857
  11 42 0.710987
  12 42 1.13938
  13 42 0.484071
  14 42 0.0861858
  15 42 0.62785
  16 42 0.22441
  17 42 -0.0204083
  18 42 1.18308
  19 42 0.423615
  20 42 0.449136
1100 20 840
  1 42 0.647979
  2 42 -0.0252835
  3 42 -0.0802987
  4 42 -0.236231
  5 42 0.165841
  6 42 0.320064
  7 42 0.12274
  8 42 1.02959
  9 42 0.159897
  10 42 0.0426011
  11 42 0.0275216
  12 42 1.49884
  13 42 1.01088
  14 42 0.226857
  15 42 -0.191662
  16 42 0.186241
  17 42 0.421458
  18 42 0.461974
  19 42 0.777538
  20 42 0.0174429
1200 20 840
  1 42 0.612429
  2 42 -0.553048
  3 42 -0.417491
  4 42 0.70133
  5 42 0.759955
  6 42 0.441169
  7 42 1.46039
  8 42 -0.0838477
  9 42 -0.888758
  10 42 0.0524634
  11 42 -0.662743
  12 42 -0.10762
  13 42 -0.446455
  14 42 -0.232816
  15 42 0.00255054
  16 42 -0.600119
  17 42 0.380263
  18 42 -0.196405
  19 42 1.28254
  20 42 -0.4005
1300 20 840
  1 42 0.00255319
  2 42 0.435722
  3 42 0.108101
  4 42 -0.423212
  5 42 -0.88057
  6 42 0.947037
  7 42 -0.426618
  8 42 -0.00076274
  9 42 0.302606
  10 42 0.538599
  11 42 0.242382
  12 42 -0.237664
  13 42 0.272743
  14 42 0.758891
  15 42 -0.554389
  16 42 0.80632
  17 42 0.611049
  18 42 0.732745
  19 42 -0.195303
  20 42 0.299016
1400 20 840
  1 42 -0.41203
  2 42 0.282543
  3 42 0.202193
  4 42 0.0121269
  5 42 0.290085
  6 42 -0.380417
  7 42 1.4489
  8 42 -0.44654
  9 42 0.323874
  10 42 -0.698189
  11 42 0.194117
  12 42 -0.282402
  13 42 -0.254228
  14 42 -0.247858
  15 42 1.0486
  16 42 -0.0904301
  17 42 -0.313684
  18 42 -0.571816
  19 42 -0.387281
  20 42 -0.271108
1500 20 840
  1 42 -0.939969
  2 42 0.113419
  3 42 -0.633855
  4 42 0.0950131
  5 42 0.461489
  6 42 -0.697813
  7 42 0.0223283
  8 42 -0.482799
  9 42 0.853176
  10 42 0.967896
  11 42 -0.565972
  12 42 1.04597
  13 42 0.791469
  14 42 0.127273
  15 42 0.877468
  16 42 0.371912
  17 42 0.579573
  18 42 -0.41306
  19 42 -0.220491
  20 42 0.0669601
1600 20 840
  1 42 0.762705
  2 42 -0.518037
  3 42 1.13772
  4 42 0.0907085
  5 42 1.65553
  6 42 -0.138721
